RECSYEAR,COUNTRY,DOEID,REGIONC,REGIONNAME,DIVISION,DIVISIONNAME,TYPEHUQ,CELLAR,STORIES,PRKGPLC1,YEARMADE,OCCUPYY,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,DOOR1SUM,WINDOWS,ADQINSUL,DRAFTY,UGASHERE,FUELPOOL,SIZRFRI1,TYPERFR1,AGERFRI1,ICE,SIZRFRI2,TYPERFR2,AGERFRI2,NUMFREEZ,SIZFREEZ,AGEFRZR,STOVENFUEL,OVENUSE,AMTMICRO,NUMMEAL,TOASTER,COFFEE,DWASHUSE,WASHLOAD,WASHTEMP,RNSETEMP,DRYRUSE,EQUIPM,FUELHEAT,EQUIPAGE,PROTHERM,TEMPHOME,TEMPGONE,TEMPNITE,EQUIPAUX,REVERSE,WARMAIR,STEAMR,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CARRYEL,CARRYKER,CHIMNEY,RANGE,DIFEQUIP,ELECAUX,UGASAUX,LPGAUX,FOKRAUX,WOODAUX,OTHERAUX,ATTCHEAT,GARGHEAT,COOLTYPE,AGECENAC,USECENAC,NUMBERAC,WWACAGE,USEWWAC,NUMCFAN,FUELH2O,WHEATAGE,WHEATSIZ,LGTOUTNUM,ESDISHW,PGASHEAT,LPGPAY,FOPAY,HHSEX,HHAGE,EMPLOYHH,HOUSEHOLDER_RACE,NHSLDMEM,ATHOME,MONEYPY,ELWATER,LPOTHER,TOTCSQFT,TOTHSQFT,TOTUSQFT,NWEIGHT,CDD65,HDD65,GALLONLP,CUFEETNG,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELOTH,BTULP,BTULPSPH,BTULPWTH,BTULPOTH,BTUNG,BTUNGSPH,BTUNGWTH,BTUNGOTH,BTUFO,BTUFOSPH,BTUFOWTH,BTUFOOTH,DOLLARNG,DOLNGSPH,DOLNGWTH,DOLNGOTH,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLARLP,DOLLPSPH,DOLLPWTH,DOLLPOTH,DOLLARFO,DOLFOSPH,DOLFOWTH,DOLFOOTH,GALLONFO,TOTALBTU,TOTALDOLLAR,WOODAMT,PERIODFO,PERIODLP,PERIODEL,PERIODNG,KOWNRENT,SWIMPOOL,POOL,RECBATH,FUELTUB,NUMFRIG,UPRTFRZR,STOVEN,STOVE,OVEN,MICRO,DISHWASH,CWASHER,DRYER,DRYRFUEL,DNTHEAT,THERMAIN,AIRCOND,CENACHP,USEEL,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWARM,UGWATER,UGCOOK,UGOTH,USELP,LPWARM,LPWATER,LPCOOK,USEFO,FOWARM,FOWATER,USEWOOD,WOODLOGS,WDPELLET,WDOTHER,WDWARM,WDWATER,USESOLAR,SOLWATER,SOLOTHER,TVAUDIOEQUIP,PCOFFEQUIP,PHONE
2009,United States,1676,3,South,5,South Atlantic,5,0.0,10.0,1.0,2,8,1.0,1,0,2,3,0,42,3,2,1,1.0,3.0,1.0,2.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,1.0,5.0,1.0,5,0,1,13.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,75.0,73.0,73.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,41.0,3.0,1.0,3.0,1.0,1,1.0,2.0,3.0,0.0,0,2.0,1.0,1.0,1,20,2,2,2,1,12,0,0,769,769,0,14264.79,1703,4062,0.0,472.0,19605.0,0.0,5416.59,0.0,3978.38,10210.03,0.0,0.0,0.0,0.0,48380.0,34236.81,11185.29,2957.9,0.0,0.0,0.0,0.0,617.0,436.63,142.65,37.72,859.0,0.0,237.33,0.0,174.31,447.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67985.0,1476.0,1.0,1.0,5.0,5,5.0,2,0.0,0.0,0,5.0,1,2.0,1,0,0,1,0,0,0,5.0,1.0,1.0,1,0.0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,5,0,0
2009,United States,6872,3,South,5,South Atlantic,1,0.0,10.0,0.0,6,8,3.0,2,0,2,5,0,41,2,4,0,1.0,3.0,22.0,41.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,1,0,0,20.0,3.0,3.0,3.0,2.0,3.0,5.0,41.0,1.0,68.0,58.0,68.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,41.0,3.0,1.0,3.0,1.0,2,5.0,1.0,1.0,0.0,0,1.0,1.0,1.0,1,25,1,1,2,1,15,1,0,1064,1064,0,21478.82,1789,3254,0.0,0.0,52456.0,11385.76,6342.13,7193.94,4283.22,23250.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,351.84,195.99,222.31,132.36,718.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52456.0,1621.0,1.0,1.0,5.0,1,1.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,1,1,1,5.0,1.0,1.0,1,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,8,3,0
2001,United States,1717,2,Midwest,4,West North Central,2,0.0,10.0,1.0,5,9,1.0,1,0,1,3,0,3,1,4,0,1.0,4.0,2.0,3.0,1.0,9.0,9.0,4.0,0.0,9.0,4.0,1.0,3.0,2.0,4,1,1,13.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,0.0,70.0,65.0,68.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,9.0,0.0,1.0,3.0,3.0,0.0,3.0,9.0,3,5.0,3.0,2.0,0.0,0,9.0,1.0,9.0,2,60,0,1,2,1,4,1,1,952,952,400,11952.0,1114,4873,232.0,0.0,24877.0,0.0,4011.0,6271.0,5349.0,9246.0,21223.0,16078.0,0.0,5145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0.0,95.0,148.0,126.0,218.0,327.0,248.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,46100.0,914.0,75.0, ,5,5, ,1,0.0,9.0,0,5.0,1,9.0,1,0,0,1,0,1,1,2.0,9.0,1.0,1,0.0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1.0,0.0,0.0,1,0,0,0,0,5,3,3
2001,United States,1339,4,West,8,Mountain,2,0.0,20.0,1.0,12,2,4.0,2,1,3,10,0,3,1,4,1,1.0,4.0,2.0,1.0,0.0,9.0,9.0,4.0,0.0,9.0,4.0,1.0,2.0,4.0,3,0,1,20.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,68.0,68.0,68.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,1.0,1.0,1.0,0.0,3.0,9.0,1,1.0,1.0,2.0,1.0,0,1.0,9.0,9.0,1,38,1,1,5,1,7,0,0,1716,2116,0,31611.0,905,5566,0.0,850.0,29210.0,0.0,3391.0,0.0,2688.0,28560.0,0.0,0.0,0.0,0.0,87465.0,50198.0,28406.0,8861.0,0.0,0.0,0.0,0.0,737.0,423.0,239.0,75.0,519.0,0.0,60.0,0.0,48.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116675.0,1256.0,0.0, , ,1,1,1,0.0,9.0,0,5.0,1,9.0,1,0,0,1,1,1,1,5.0,9.0,1.0,1,0.0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0,0,0,0,0,8,1,3
2009,United States,1501,2,Midwest,3,East North Central,2,1.0,20.0,1.0,1,2,3.0,1,1,3,6,0,42,2,3,1,1.0,3.0,22.0,41.0,0.0,3.0,22.0,3.0,1.0,1.0,3.0,5.0,6.0,1.0,2,0,0,13.0,2.0,2.0,3.0,1.0,3.0,1.0,42.0,0.0,72.0,62.0,62.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,42.0,1.0,1.0,3.0,1.0,1,5.0,3.0,3.0,1.0,0,1.0,1.0,1.0,1,75,0,1,1,1,8,1,0,1551,1551,2236,14998.97,375,6915,0.0,774.0,20875.0,0.0,476.21,4448.59,2715.82,13234.38,0.0,0.0,0.0,0.0,79335.0,79335.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,839.0,0.0,0.0,661.0,0.0,15.08,140.86,86.0,419.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100210.0,1500.0,1.0,1.0,5.0,1,2.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,0,1,0,5.0,1.0,1.0,1,0.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,6,3,1
2009,United States,4706,3,South,5,South Atlantic,2,0.0,10.0,1.0,6,6,3.0,2,0,5,8,1,41,1,4,0,1.0,3.0,21.0,41.0,1.0,3.0,22.0,3.0,1.0,2.0,3.0,2.0,5.0,2.0,4,1,1,13.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,0.0,70.0,70.0,70.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,41.0,3.0,1.0,3.0,1.0,4,5.0,41.0,3.0,0.0,0,1.0,1.0,1.0,1,56,1,7,3,0,24,1,1,1028,0,2856,6800.58,3950,324,92.0,0.0,73208.0,0.0,15960.76,10978.92,9034.56,37233.76,8438.0,0.0,0.0,8438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.0,0.0,588.43,404.77,333.08,1372.72,251.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,81646.0,2950.0,1.0,1.0,5.0,1,1.0,1,1.0,0.0,0,5.0,2,2.0,1,0,0,1,1,1,1,2.0,1.0,1.0,1,0.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,6,7,1
2009,United States,5229,1,Northeast,2,Middle Atlantic,3,0.0,10.0,0.0,5,7,2.0,2,0,3,5,2,30,3,3,1,1.0,3.0,23.0,3.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,4,0,1,13.0,1.0,3.0,3.0,1.0,3.0,1.0,42.0,0.0,68.0,62.0,62.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,42.0,1.0,1.0,3.0,1.0,2,1.0,42.0,3.0,0.0,1,1.0,1.0,1.0,1,56,1,1,1,0,15,0,1,1338,1338,0,14012.4,949,4835,0.0,662.0,17879.0,0.0,2202.99,0.0,3268.46,12407.55,0.0,0.0,0.0,0.0,67855.0,42121.52,19744.21,5989.26,0.0,0.0,0.0,0.0,1122.0,696.49,326.48,99.03,897.0,0.0,110.53,0.0,163.98,622.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85734.0,2019.0,1.0,1.0,5.0,1,1.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,1,1,1,1.0,1.0,1.0,1,0.0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,4,0,2
2009,United States,5898,4,West,10,Pacific,5,0.0,10.0,1.0,5,8,2.0,2,0,1,3,0,20,2,2,0,1.0,3.0,22.0,3.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,5.0,3.0,1.0,2,1,1,20.0,2.0,2.0,2.0,3.0,5.0,5.0,3.0,0.0,65.0,55.0,60.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,1,5.0,3.0,2.0,0.0,0,1.0,1.0,1.0,1,28,0,1,2,1,12,1,1,0,1259,0,10651.14,249,4906,0.0,0.0,37157.0,10393.65,0.0,7391.55,3659.5,15712.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.0,293.43,0.0,208.68,103.31,443.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37157.0,1049.0,1.0,1.0,5.0,1,1.0,2,0.0,0.0,0,5.0,1,2.0,1,0,0,1,1,1,1,5.0,1.0,1.0,0,0.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,0,6,4,0
2015,United States,10600,1,Northeast,1,New England,2,1.0,10.0,0.0,2,6,1.0,1,0,2,3,1,41,2,3,1,1.0,3.0,22.0,5.0,0.0,3.0,22.0,3.0,1.0,2.0,3.0,5.0,5.0,7.0,4,1,1,0.0,5.0,3.0,2.0,5.0,8.0,7.0,42.0,1.0,68.0,65.0,65.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,2,1.0,1.0,2.0,1.0,1,2.0,1.0,1.0,1,50,1,1,2,2,4,0,0,245,736,0,14575.461130000003,679,6114,16.764,181.117,24432.0,0.0,1795.835,0.0,1417.365,23695.827999999998,1531.1229999999996,1531.1229999999996,0.0,0.0,18552.993,0.0,18552.993,0.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,0.0,1112.0,0.0,81.73,0.0,64.51,1078.45,38.92,38.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44516.115999999995,1390.92,0.0,5.0,5.0,5,5.0,1,0.0,0.0,0,5.0,1,2.0,1,0,0,1,1,1,1,5.0,1.0,1.0,1,0.0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0.0,1.0,0.0,1,0,0,0,0,6,1,2
2015,United States,10297,4,West,10,Pacific,3,1.0,10.0,1.0,4,8,2.0,1,0,3,5,1,20,2,4,1,1.0,3.0,1.0,3.0,0.0,3.0,22.0,3.0,1.0,2.0,2.0,5.0,1.0,20.0,2,1,1,1.0,6.0,3.0,3.0,6.0,3.0,1.0,2.0,0.0,72.0,67.0,65.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1,1.0,41.0,2.0,1.0,0,1.0,1.0,1.0,1,40,1,1,3,5,5,0,0,1128,1128,250,10974.50252,1362,2322,0.0,240.285,20753.595,0.0,3560.522,0.0,1772.97,18094.171000000002,0.0,0.0,0.0,0.0,24792.565,10554.466,14238.098999999998,0.0,0.0,0.0,0.0,0.0,313.84,133.6,180.23,0.0,1130.76,0.0,193.99,0.0,96.6,985.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45546.16,1444.6,0.5,5.0,5.0,1,1.0,1,0.0,0.0,0,5.0,1,1.0,1,0,0,1,1,1,1,5.0,1.0,1.0,1,0.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,8,4,6
